"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies"
"P24","6/23/14","not blooming",0,"Calochortus","spp.","",""
"P24","7/2/14","finishing bloom",1,"Calochortus","spp.","",""
"P24","7/13/14","not blooming",0,"Calochortus","spp.","",""
"P310","6/29/13","finishing bloom",1,"Calochortus","spp.","",""
"P310","7/13/13","not blooming",0,"Calochortus","spp.","",""
"P310","7/17/13","not blooming",0,"Calochortus","spp.","",""
"P310","7/31/13","not blooming",0,"Calochortus","spp.","",""
"P310","6/12/14","not blooming",0,"Calochortus","spp.","",""
"P310","6/24/14","full bloom",1,"Calochortus","spp.","",""
"P310","7/1/14","full bloom",1,"Calochortus","spp.","",""
"P310","7/13/14","finishing bloom",1,"Calochortus","spp.","",""
"P37","6/28/13","full bloom",1,"Calochortus","spp.","",""
"P37","7/13/13","not blooming",0,"Calochortus","spp.","",""
"P37","7/19/13","not blooming",0,"Calochortus","spp.","",""
"P37","7/30/13","not blooming",0,"Calochortus","spp.","",""
"P37","6/13/14","not blooming",0,"Calochortus","spp.","",""
"P37","6/24/14","not blooming",0,"Calochortus","spp.","",""
"P37","7/1/14","not blooming",0,"Calochortus","spp.","",""
"P37","7/13/14","not blooming",0,"Calochortus","spp.","",""
"N132","6/30/13","full bloom",1,"Calyptridium","umbellatum","",""
"N132","7/14/13","finishing bloom",1,"Calyptridium","umbellatum","",""
"N132","7/20/13","finishing bloom",1,"Calyptridium","umbellatum","",""
"N132","8/1/13","not blooming",0,"Calyptridium","umbellatum","",""
"N132","6/14/14","full bloom",2,"Calyptridium","umbellatum","",""
"N132","6/25/14","full bloom",1,"Calyptridium","umbellatum","",""
"N132","7/4/14","finishing bloom",1,"Calyptridium","umbellatum","",""
"N132","7/14/14","finishing bloom",1,"Calyptridium","umbellatum","",""
"N133","7/8/13","full bloom",2,"Calyptridium","umbellatum","",""
"N133","7/11/13","full bloom",2,"Calyptridium","umbellatum","",""
"N133","7/23/13","finishing bloom",1,"Calyptridium","umbellatum","",""
"N133","7/25/13","not blooming",0,"Calyptridium","umbellatum","",""
"N133","6/18/14","full bloom",1,"Calyptridium","umbellatum","",""
"N133","7/7/14","not blooming",0,"Calyptridium","umbellatum","",""
"N133","7/10/14","finishing bloom",1,"Calyptridium","umbellatum","",""
"N133","7/18/14","not blooming",0,"Calyptridium","umbellatum","",""
"N137","7/9/13","finishing bloom",1,"Calyptridium","umbellatum","",""
"N137","7/12/13","finishing bloom",1,"Calyptridium","umbellatum","",""
"N137","7/24/13","finishing bloom",1,"Calyptridium","umbellatum","",""
"N137","7/26/13","finishing bloom",1,"Calyptridium","umbellatum","",""
"N137","6/19/14","not blooming",0,"Calyptridium","umbellatum","",""
"N137","7/7/14","full bloom",1,"Calyptridium","umbellatum","",""
"N137","7/10/14","full bloom",1,"Calyptridium","umbellatum","",""
"N137","7/19/14","full bloom",1,"Calyptridium","umbellatum","",""
"P37","6/28/13","full bloom",1,"Calyptridium","umbellatum","",""
"P37","7/13/13","not blooming",0,"Calyptridium","umbellatum","",""
"P37","7/19/13","not blooming",0,"Calyptridium","umbellatum","",""
"P37","7/30/13","not blooming",0,"Calyptridium","umbellatum","",""
"P37","6/13/14","not blooming",0,"Calyptridium","umbellatum","",""
"P37","6/24/14","not blooming",0,"Calyptridium","umbellatum","",""
"P37","7/1/14","not blooming",0,"Calyptridium","umbellatum","",""
"P37","7/13/14","not blooming",0,"Calyptridium","umbellatum","",""
"L21","6/26/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"L21","7/13/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"L21","7/17/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"L21","7/30/13","finishing bloom",1,"Castilleja","applegatei","ssp.","disticha"
"L21","6/12/14","full bloom",1,"Castilleja","applegatei","ssp.","disticha"
"L21","6/22/14","full bloom",3,"Castilleja","applegatei","ssp.","disticha"
"L21","7/3/14","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"L21","7/13/14","finishing bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N131","6/30/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N131","7/14/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N131","7/20/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N131","8/1/13","finishing bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N131","6/14/14","beginning to bloom to bloom",1,"Castilleja","applegatei","ssp.","disticha"
"N131","6/25/14","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N131","7/4/14","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N131","7/14/14","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N135","7/8/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N135","7/11/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N135","7/22/13","finishing bloom",1,"Castilleja","applegatei","ssp.","disticha"
"N135","7/25/13","finishing bloom",1,"Castilleja","applegatei","ssp.","disticha"
"N135","6/18/14","not blooming",0,"Castilleja","applegatei","ssp.","disticha"
"N135","7/6/14","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"N135","7/9/14","finishing bloom",1,"Castilleja","applegatei","ssp.","disticha"
"N135","7/19/14","not blooming",0,"Castilleja","applegatei","ssp.","disticha"
"P310","6/29/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"P310","7/13/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"P310","7/17/13","full bloom",2,"Castilleja","applegatei","ssp.","disticha"
"P310","7/31/13","finishing bloom",1,"Castilleja","applegatei","ssp.","disticha"
"P310","6/12/14","not blooming",0,"Castilleja","applegatei","ssp.","disticha"
"P310","6/24/14","not blooming",0,"Castilleja","applegatei","ssp.","disticha"
"P310","7/1/14","not blooming",0,"Castilleja","applegatei","ssp.","disticha"
"P310","7/13/14","not blooming",0,"Castilleja","applegatei","ssp.","disticha"
"L21","6/26/13","full bloom",2,"Ceanothus","cordulatus","",""
"L21","7/13/13","not blooming",0,"Ceanothus","cordulatus","",""
"L21","7/17/13","not blooming",0,"Ceanothus","cordulatus","",""
