Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector
N131,7/14/2013,PHAHAS,Phacelia hastata ssp. compacta,FINISHING,2,CRP
N131,7/20/2013,PHAHAS,Phacelia hastata ssp. compacta,NOT BLOOMING,0,LCP
N131,8/1/2013,PHAHAS,Phacelia hastata ssp. compacta,NOT BLOOMING,0,CRP
N131,6/30/2013,Calochortus spp.,Calochortus spp.,FINISHING,1,CK
N131,7/14/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,,CRP
N131,7/20/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,,LCP
N131,8/1/2013,Calochortus spp.,Calochortus spp.,NOT BLOOMING,,CRP
N132,6/30/2013,CALUMB,Calyptridium umbellatum,FULL,1,LCP
N132,7/14/2013,CALUMB,Calyptridium umbellatum,FINISHING,1,GH
N132,7/20/2013,CALUMB,Calyptridium umbellatum,FINISHING,1,CRP
N132,8/1/2013,CALUMB,Calyptridium umbellatum,NOT BLOOMING,0,LCP
N132,6/30/2013,ERIBRE,Erigeron brewerii var. brewerii,FULL,2,LCP
N132,7/14/2013,ERIBRE,Erigeron brewerii var. brewerii,FINISHING,2,GH
N132,7/20/2013,ERIBRE,Erigeron brewerii var. brewerii,FINISHING,2,CRP
N132,8/1/2013,ERIBRE,Erigeron brewerii var. brewerii,NOT BLOOMING,0,LCP
N132,6/30/2013,ERINUD,Eriogonum nudum var.nudum,NOT BLOOMING,0,LCP
N132,7/14/2013,ERINUD,Eriogonum nudum var.nudum,NOT BLOOMING,0,GH
N132,7/20/2013,ERINUD,Eriogonum nudum var.nudum,NOT BLOOMING,0,CRP
N132,8/1/2013,ERINUD,Eriogonum nudum var.nudum,FULL,1,LCP
N132,6/30/2013,ERISPE,Eriogonum spergulinum var. reddingianum,BEGINNING,1,LCP
N132,7/14/2013,ERISPE,Eriogonum spergulinum var. reddingianum,BEGINNING,1,GH
N132,7/20/2013,ERISPE,Eriogonum spergulinum var. reddingianum,FULL,3,CRP
N132,8/1/2013,ERISPE,Eriogonum spergulinum var. reddingianum,NOT BLOOMING,0,LCP
N132,6/30/2013,ERIUMB,Eriogonum umbellatum,NOT BLOOMING,0,LCP
N132,7/14/2013,ERIUMB,Eriogonum umbellatum,BEGINNING,2,GH
N132,7/20/2013,ERIUMB,Eriogonum umbellatum,BEGINNING,2,CRP
N132,8/1/2013,ERIUMB,Eriogonum umbellatum,FINISHING,1,LCP
N132,6/30/2013,GAYDIF,Gayophytum diffusum ,FULL,1,LCP
N132,7/14/2013,GAYDIF,Gayophytum diffusum ,FULL,1,GH
N132,7/20/2013,GAYDIF,Gayophytum diffusum ,FULL,1,CRP
N132,8/1/2013,GAYDIF,Gayophytum diffusum ,FINISHING,1,LCP
N132,6/30/2013,GAYERI,Gayophytum eriospermum,FULL,4,LCP
N132,7/14/2013,GAYERI,Gayophytum eriospermum,FULL,4,GH
N132,7/20/2013,GAYERI,Gayophytum eriospermum,FULL,4,CRP
