Site,Date,FieldPlantSp,PlantSp,BloomStatus,NumFlower,Collector,SampleRound,Year
N134,6/17/14,AQUFOR,Aquilegia formosa,beginning to bloom to bloom,3,JPS,1,2014
N134,7/6/14,AQUFOR,Aquilegia formosa,full bloom,2,LCP,2,2014
N134,7/9/14,AQUFOR,Aquilegia formosa,not blooming,0,KK,3,2014
N134,7/17/14,AQUFOR,Aquilegia formosa,not blooming,0,LCP,4,2014
N136,7/9/13,AQUFOR,Aquilegia formosa,full,1,GH,1,2013
N136,7/12/13,AQUFOR,Aquilegia formosa,full,1,LCP,2,2013
N136,7/24/13,AQUFOR,Aquilegia formosa,not blooming,0,CRP,3,2013
N136,7/26/13,AQUFOR,Aquilegia formosa,not blooming,0,LCP,4,2013
N136,6/17/14,AQUFOR,Aquilegia formosa,not blooming,0,LTC,1,2014
N136,7/7/14,AQUFOR,Aquilegia formosa,not blooming,0,LCP,2,2014
N136,7/10/14,AQUFOR,Aquilegia formosa,full bloom,1,KK,3,2014
N136,7/17/14,AQUFOR,Aquilegia formosa,finishing bloom,1,LTC,4,2014
N131,6/30/13,ARAREC,Arabis rectissima var. rectissima,finishing,1,CK,1,2013
N131,7/14/13,ARAREC,Arabis rectissima var. rectissima,not blooming,0,CRP,2,2013
N131,7/20/13,ARAREC,Arabis rectissima var. rectissima,not blooming,0,LCP,3,2013
N131,8/1/13,ARAREC,Arabis rectissima var. rectissima,not blooming,0,CRP,4,2013
N131,6/14/14,ARAREC,Arabis rectissima var. rectissima,not blooming,0,LCP,1,2014
N131,6/25/14,ARAREC,Arabis rectissima var. rectissima,beginning to bloom to bloom,2,KK,2,2014
N131,7/4/14,ARAREC,Arabis rectissima var. rectissima,not blooming,0,MV/KD,3,2014
N131,7/14/14,ARAREC,Arabis rectissima var. rectissima,not blooming,0,KK,4,2014
N133,7/8/13,ARAREC,Arabis rectissima var. rectissima,finishing,3,CRP,1,2013
N133,7/11/13,ARAREC,Arabis rectissima var. rectissima,not blooming,0,GH,2,2013
N133,7/23/13,ARAREC,Arabis rectissima var. rectissima,not blooming,0,LCP,3,2013
N133,7/25/13,ARAREC,Arabis rectissima var. rectissima,not blooming,0,GH,4,2013
N133,6/18/14,ARAREC,Arabis rectissima var. rectissima,not blooming,0,LCP/KAK,1,2014
N133,7/7/14,ARAREC,Arabis rectissima var. rectissima,not blooming,0,KK,2,2014
N133,7/10/14,ARAREC,Arabis rectissima var. rectissima,not blooming,0,LCP,3,2014
N133,7/18/14,ARAREC,Arabis rectissima var. rectissima,not blooming,0,LTC,4,2014
N135,7/8/13,ARCPAT,Arctostaphylos patula,not blooming,0,GH,1,2013
N135,7/11/13,ARCPAT,Arctostaphylos patula,not blooming,0,LCP,2,2013
N135,7/22/13,ARCPAT,Arctostaphylos patula,not blooming,0,CRP,3,2013
N135,7/25/13,ARCPAT,Arctostaphylos patula,not blooming,0,LCP,4,2013
N135,7/6/14,ARCPAT,Arctostaphylos patula,not blooming,0,KK,2,2014
N135,7/9/14,ARCPAT,Arctostaphylos patula,not blooming,0,LCP,3,2014
N135,7/19/14,ARCPAT,Arctostaphylos patula,not blooming,0,LCP,4,2014
N137,7/9/13,ARCPAT,Arctostaphylos patula,not blooming,0,CRP,1,2013
N137,7/12/13,ARCPAT,Arctostaphylos patula,not blooming,0,GH,2,2013
N137,7/24/13,ARCPAT,Arctostaphylos patula,not blooming,0,LCP,3,2013
N137,7/26/13,ARCPAT,Arctostaphylos patula,not blooming,0,CRP,4,2013
N137,6/19/14,ARCPAT,Arctostaphylos patula,not blooming,0,LCP/KAK,1,2014
N137,7/7/14,ARCPAT,Arctostaphylos patula,not blooming,0,LTC,2,2014
N137,7/10/14,ARCPAT,Arctostaphylos patula,not blooming,0,LTC,3,2014
N137,7/19/14,ARCPAT,Arctostaphylos patula,not blooming,0,LTC,4,2014
N139,7/9/13,ARCPAT,Arctostaphylos patula,not blooming,0,LCP,1,2013
N139,7/12/13,ARCPAT,Arctostaphylos patula,not blooming,0,CRP,2,2013
N139,7/24/13,ARCPAT,Arctostaphylos patula,not blooming,0,GH,3,2013
N139,7/26/13,ARCPAT,Arctostaphylos patula,not blooming,0,GH,4,2013
N139,6/18/14,ARCPAT,Arctostaphylos patula,not blooming,1,JPS,1,2014
N139,7/6/14,ARCPAT,Arctostaphylos patula,not blooming,0,LTC,2,2014
N139,7/9/14,ARCPAT,Arctostaphylos patula,not blooming,0,LTC,3,2014
N139,7/18/14,ARCPAT,Arctostaphylos patula,not blooming,0,LCP,4,2014
L21,6/26/13,ARNNEV,Arnica nevadensis,full,1,LCP,1,2013
L21,7/13/13,ARNNEV,Arnica nevadensis,finishing,1,LCP,2,2013
L21,7/17/13,ARNNEV,Arnica nevadensis,finishing,1,LKM,3,2013
L21,7/30/13,ARNNEV,Arnica nevadensis,finishing,1,LCP,4,2013
L21,6/12/14,ARNNEV,Arnica nevadensis,full bloom,1,LKM,1,2014
L21,6/22/14,ARNNEV,Arnica nevadensis,not blooming,0,LCP/EK,2,2014
L21,7/3/14,ARNNEV,Arnica nevadensis,not blooming,0,KD,3,2014
L21,7/13/14,ARNNEV,Arnica nevadensis,not blooming,0,KC,4,2014
L24,6/27/13,ARNNEV,Arnica nevadensis,full,1,LKM,1,2013
L24,7/13/13,ARNNEV,Arnica nevadensis,finishing,1,SB,2,2013
L24,7/18/13,ARNNEV,Arnica nevadensis,finishing,1,LCP,3,2013
L24,7/31/13,ARNNEV,Arnica nevadensis,finishing,1,LCP,4,2013
L24,6/13/14,ARNNEV,Arnica nevadensis,not blooming,0,LKM,1,2014
L24,6/23/14,ARNNEV,Arnica nevadensis,full bloom,1,LCP/EK,2,2014
L24,7/2/14,ARNNEV,Arnica nevadensis,finishing bloom,2,MV/KD,3,2014
L24,7/13/14,ARNNEV,Arnica nevadensis,full bloom,2,LTC,4,2014
N131,6/30/13,ASTBRE,Aster breweri,not blooming,0,CK,1,2013
N131,7/14/13,ASTBRE,Aster breweri,full,2,CRP,2,2013
N131,7/20/13,ASTBRE,Aster breweri,full,2,LCP,3,2013
N131,8/1/13,ASTBRE,Aster breweri,finishing,2,CRP,4,2013
N131,6/14/14,ASTBRE,Aster breweri,not blooming,0,LCP,1,2014
N131,6/25/14,ASTBRE,Aster breweri,beginning to bloom to bloom,2,KK,2,2014
N131,7/4/14,ASTBRE,Aster breweri,full bloom,2,MV/KD,3,2014
N131,7/14/14,ASTBRE,Aster breweri,finishing bloom,2,KK,4,2014
L21,6/26/13,ASTINT,Aster integrifolius,beginning to bloom,1,LCP,1,2013
L21,7/13/13,ASTINT,Aster integrifolius,full,3,LKM,2,2013
L21,7/17/13,ASTINT,Aster integrifolius,full,3,LCP,3,2013
L21,7/30/13,ASTINT,Aster integrifolius,finishing,3,LCP,4,2013
L21,6/12/14,ASTINT,Aster integrifolius,not blooming,0,LKM,1,2014
L21,6/22/14,ASTINT,Aster integrifolius,not blooming,0,LCP/EK,2,2014
L21,7/3/14,ASTINT,Aster integrifolius,not blooming,0,KD,3,2014
L21,7/13/14,ASTINT,Aster integrifolius,full bloom,2,KC,4,2014
N131,6/30/13,ASTINT,Aster integrifolius,not blooming,0,CK,1,2013
N131,7/14/13,ASTINT,Aster integrifolius,not blooming,0,CRP,2,2013
N131,7/20/13,ASTINT,Aster integrifolius,not blooming,0,LCP,3,2013
N131,8/1/13,ASTINT,Aster integrifolius,full,2,CRP,4,2013
N131,6/14/14,ASTINT,Aster integrifolius,not blooming,0,LCP,1,2014
N131,6/25/14,ASTINT,Aster integrifolius,not blooming,0,KK,2,2014
N131,7/4/14,ASTINT,Aster integrifolius,not blooming,0,MV/KD,3,2014
N131,7/14/14,ASTINT,Aster integrifolius,finishing bloom,1,KK,4,2014
P37,6/28/13,ASTINT,Aster integrifolius,full,1,CRP,1,2013
P37,7/13/13,ASTINT,Aster integrifolius,full,1,LCP,2,2013
P37,7/19/13,ASTINT,Aster integrifolius,full,1,GH,3,2013
P37,7/30/13,ASTINT,Aster integrifolius,full,1,GH,4,2013
P37,6/13/14,ASTINT,Aster integrifolius,not blooming,0,JPS/LTC,1,2014
P37,6/24/14,ASTINT,Aster integrifolius,full bloom,1,KK,2,2014
P37,7/1/14,ASTINT,Aster integrifolius,full bloom,1,LCP,3,2014
P37,7/13/14,ASTINT,Aster integrifolius,,,LKM,4,2014
L21,7/3/14,ASTOCC,Aster occidentalis,finishing bloom,1,KD,3,2014
L21,7/13/14,ASTOCC,Aster occidentalis,not blooming,0,KC,4,2014
N139,7/18/14,Aster sp.,Aster sp.,finishing bloom,1,LCP,4,2014
L35,6/12/14,Brassica sp.,Brassica sp.,full bloom,2,LTC,1,2014
L35,7/3/14,Brassica sp.,Brassica sp.,finishing bloom,1,MV,3,2014
L21,6/26/13,Calochortus spp.,Calochortus spp.,finishing,3,LCP,1,2013
L21,7/13/13,Calochortus spp.,Calochortus spp.,not blooming,0,LKM,2,2013
L21,7/17/13,Calochortus spp.,Calochortus spp.,not blooming,0,LCP,3,2013
L21,7/30/13,Calochortus spp.,Calochortus spp.,not blooming,0,LCP,4,2013
L21,6/12/14,Calochortus spp.,Calochortus spp.,not blooming,0,LKM,1,2014
L21,6/22/14,Calochortus spp.,Calochortus spp.,full bloom,2,LCP/EK,2,2014
L21,7/3/14,Calochortus spp.,Calochortus spp.,finishing bloom,1,KD,3,2014
L21,7/13/14,Calochortus spp.,Calochortus spp.,not blooming,0,KC,4,2014
L24,6/27/13,Calochortus spp.,Calochortus spp.,full,1,LKM,1,2013
L24,7/13/13,Calochortus spp.,Calochortus spp.,not blooming,0,SB,2,2013
L24,7/18/13,Calochortus spp.,Calochortus spp.,not blooming,0,LCP,3,2013
L24,7/31/13,Calochortus spp.,Calochortus spp.,not blooming,0,LCP,4,2013
L24,6/13/14,Calochortus spp.,Calochortus spp.,not blooming,0,LKM,1,2014
L24,6/23/14,Calochortus spp.,Calochortus spp.,not blooming,0,LCP/EK,2,2014
L24,7/2/14,Calochortus spp.,Calochortus spp.,not blooming,0,MV/KD,3,2014
L24,7/13/14,Calochortus spp.,Calochortus spp.,not blooming,0,LTC,4,2014
L33,6/29/13,Calochortus spp.,Calochortus spp.,full,1,CRP,1,2013
L33,7/13/13,Calochortus spp.,Calochortus spp.,not blooming,0,GH,2,2013
L33,7/19/13,Calochortus spp.,Calochortus spp.,not blooming,0,LCP,3,2013
L33,7/31/13,Calochortus spp.,Calochortus spp.,not blooming,0,CRP,4,2013
L33,6/13/14,Calochortus spp.,Calochortus spp.,not blooming,0,AJR,1,2014
L33,6/23/14,Calochortus spp.,Calochortus spp.,full bloom,1,LTC,2,2014
L33,7/3/14,Calochortus spp.,Calochortus spp.,full bloom,1,KK,3,2014
L33,7/13/14,Calochortus spp.,Calochortus spp.,not blooming,0,KK,4,2014
L35,7/3/14,Calochortus spp.,Calochortus spp.,finishing bloom,1,MV,3,2014
N131,6/30/13,Calochortus spp.,Calochortus spp.,finishing,1,CK,1,2013
N131,7/14/13,Calochortus spp.,Calochortus spp.,not blooming,,CRP,2,2013
N131,7/20/13,Calochortus spp.,Calochortus spp.,not blooming,,LCP,3,2013
N131,8/1/13,Calochortus spp.,Calochortus spp.,not blooming,,CRP,4,2013
N131,6/14/14,Calochortus spp.,Calochortus spp.,not blooming,0,LCP,1,2014
N131,6/25/14,Calochortus spp.,Calochortus spp.,full bloom,1,KK,2,2014
N131,7/4/14,Calochortus spp.,Calochortus spp.,beginning to bloom to bloom,1,MV/KD,3,2014
N131,7/14/14,Calochortus spp.,Calochortus spp.,not blooming,0,KK,4,2014
N132,6/14/14,Calochortus spp.,Calochortus spp.,full bloom,1,AJR,1,2014
N132,6/25/14,Calochortus spp.,Calochortus spp.,full bloom,1,LTC,2,2014
N135,6/18/14,Calochortus spp.,Calochortus spp.,full bloom,1,LTC,1,2014
N135,7/6/14,Calochortus spp.,Calochortus spp.,full bloom,1,KK,2,2014
