"Family","Genus","SubGenus","Species","SubSpecies","Sociality","NestLoc","Excavate","Lecty","Wood","FireKill","Notes","Reference","GenusSpecies","PolSpec","PolSpec.2013","PolSpec.2014","YoseSpec"
"Colletidae","Colletes","simulans","slevini","","solitary","below","ex",NA,"no","no","","","Colletes slevini",0.182520917777969,0.165103448830822,0.19870483980711,0.340543813022393
"Colletidae","Hylaeus","Cephalylaeus","basalis","","solitary","above","rent",NA,"yes","yes","","","Hylaeus basalis",0.203068931807293,0.179870160569025,0.272896561912923,0.358888768852982
"Halictidae","Agapostemon","Agapostemon","texanus","","solitary","below","ex","polylectic","no","no","","","Agapostemon texanus",NA,NA,NA,0.239882634831733
"Halictidae","Dufourea","","spilura","","solitary","below","ex","oligolectic","no","no","","","Dufourea spilura",0.641513925931232,0.613164221037464,0.756956595012716,0.099595858320499
"Halictidae","Dufourea","","spinifera","aff.","solitary","below","ex","oligolectic","no","no","","","Dufourea spinifera aff.",NA,NA,NA,0.472414068238485
"Halictidae","Dufourea","","versatilis","rubriventris","solitary","below","ex","oligolectic","no","no","","","Dufourea versatilis rubriventris",0.602479169232854,0.471979295312431,1,0.655056803728666
"Halictidae","Halictus","Halictus","farinosus","","solitary","below","ex","polylectic","no","no","","","Halictus farinosus",0.110190120458718,0.0847456575456239,NA,0.480583816610687
"Halictidae","Halictus","Seladonia","tripartitus","","solitary","below","ex","polylectic","no","no","","","Halictus tripartitus",NA,NA,NA,0.336376059499005
"Halictidae","Lasioglossum","Dialictus","cyaneonotum","","solitary","below","ex",NA,"no","no","","","Lasioglossum cyaneonotum",0.169637904495769,0.14901447746235,0.353811277513575,0.148888919596943
"Halictidae","Lasioglossum","Dialictus","diatretum","cf.","solitary","below","ex",NA,"no","no","","","Lasioglossum diatretum cf.",0.235472727235083,NA,0.502761127101049,0.399639847154346
"Halictidae","Lasioglossum","Dialictus","hairy","","solitary","below","ex",NA,"no","no","","","Lasioglossum hairy",NA,NA,NA,0.399639847154346
"Halictidae","Lasioglossum","Dialictus","knereri","cf.","solitary","below","ex",NA,"no","no","","","Lasioglossum knereri cf.",NA,NA,NA,0.588860228138871
"Halictidae","Lasioglossum","Dialictus","marinense","cf.","solitary","below","ex",NA,"no","no","","","Lasioglossum marinense cf.",0.170179025544372,0.204269962737579,0.206738074073615,0.399639847154346
"Halictidae","Lasioglossum","Dialictus","nevadense","","solitary","below","ex",NA,"no","no","","","Lasioglossum nevadense",NA,NA,NA,0.531264476722488
"Halictidae","Lasioglossum","Dialictus","prasinogaster","aff.","solitary","below","ex",NA,"no","no","","","Lasioglossum prasinogaster aff.",0.139206442815156,0.15337152521635,0.134998301619646,0.399639847154346
"Halictidae","Lasioglossum","Dialictus","punctatoventre","cf.","solitary","below","ex",NA,"no","no","","","Lasioglossum punctatoventre cf.",0.0942305840503399,NA,0.227450748042521,0.675934502153536
"Halictidae","Lasioglossum","Dialictus","sp.","kn","solitary","below","ex",NA,"no","no","","","Lasioglossum sp. kn",0.235944906272032,0.233201902692532,0.321161801768216,0.399639847154346
"Halictidae","Lasioglossum","Hemihalictus","glabriventre","","solitary","below","ex",NA,"no","no","","","Lasioglossum glabriventre",0.402505515281989,0.276887669908013,0.433315516181501,0.399639847154346
"Halictidae","Lasioglossum","Lasioglossum","anhypops","","solitary","below","ex",NA,"no","no","","","Lasioglossum anhypops",0.539168335138775,NA,0.508603985201252,0.262246528976039
"Halictidae","Lasioglossum","Lasioglossum","mellipes","","solitary","below","ex","polylectic","no","no","","","Lasioglossum mellipes",0.492164118315035,NA,0.426773100910859,0.303198416311093
"Halictidae","Lasioglossum","Lasioglossum","sisymbrii","","solitary","below","ex","polylectic","no","no","","","Lasioglossum sisymbrii",0,0,NA,0.399639847154346
"Halictidae","Sphecodes","","sp.","b","parasite","below","rent",NA,"no","no","","","Sphecodes sp. b",0.0725435616416354,0.0537432041275673,0.399594532144477,NA
"Halictidae","Sphecodes","","sp.","a","parasite","below","rent",NA,"no","no","","","Sphecodes sp. a",0.382283233974193,NA,0.289937188800435,NA
"Megachilidae","Anthidiellum","Loyalanthidium","notatum","robertsoni","solitary","above","rent",NA,"no","no","","","Anthidiellum notatum robertsoni",0.178987381415013,0.0537432041275673,0.244805238782192,0.183939467585246
"Megachilidae","Anthidium","Anthidium","atrifrons","","solitary","above","rent","polylectic","yes","yes","","","Anthidium atrifrons",0.0227398829750326,0.0286976312988923,NA,0.338749315093585
"Megachilidae","Anthidium","Anthidium","banningense","","solitary","below","ex","polylectic","no","yes","","","Anthidium banningense",0,NA,0,0.338749315093585
"Megachilidae","Anthidium","Anthidium","maculosum","","solitary","above","rent","polylectic","yes","yes","","","Anthidium maculosum",0.147175896214928,0.135719380196365,NA,0.412279197029359
"Megachilidae","Anthidium","Anthidium","mormonum","","solitary","above","rent","polylectic","yes","tes","","","Anthidium mormonum",0.249052904862204,0.2883363556186,0.22255836783775,0.336865691433901
"Megachilidae","Anthidium","Anthidium","placitum","","solitary","below","ex","polylectic","no","yes","never recorded in trap nests","","Anthidium placitum",0.115106107469985,0.125062205995837,0.227450748042521,0.298738131463938
"Megachilidae","Ashmeadiella","Arogochila","timberlakei","","solitary","above","rent",NA,"yes","yes","","","Ashmeadiella timberlakei",0.257292023543595,0.274922775419837,0.239972596766024,0.432588472149873
"Megachilidae","Ashmeadiella","Ashmeadiella","aridula","","solitary","above","rent",NA,"yes","yes","","","Ashmeadiella aridula",NA,NA,NA,NA
"Megachilidae","Ashmeadiella","Ashmeadiella","bucconis","","solitary","above","rent",NA,"yes","yes","","","Ashmeadiella bucconis",0.395828782753254,0.360992411434772,0.479600047481848,0.45868169809981
"Megachilidae","Ashmeadiella","Ashmeadiella","cactorum","","solitary","above","rent",NA,"yes","yes","","","Ashmeadiella cactorum",0.452068530253268,0.341989108066069,0.727432153006198,0.323063784024986
"Megachilidae","Ashmeadiella","Ashmeadiella","californica","","solitary","above","rent",NA,"yes","yes","","","Ashmeadiella californica",0.545717255037921,0.45349366589215,0.623941284295528,0.3967619135666
"Megachilidae","Ashmeadiella","Ashmeadiella","cubiceps","cubiceps","solitary","above","rent",NA,"yes","yes","","","Ashmeadiella cubiceps cubiceps",0.406030171497995,0.367260160606649,NA,0.459607311212751
"Megachilidae","Atoposmia","Atoposmia","triodonta","shastensis","solitary","above","rent","polylectic","no","no","under slabs of rocks","","Atoposmia triodonta shastensis",NA,NA,NA,0.66951069105197
"Megachilidae","Atoposmia","Hexosmia","copelandica","albomarginata","solitary","above","rent","polylectic","yes","yes","","","Atoposmia copelandica albomarginata",0.248448440560016,0.37410109205571,0.242246376875055,0.486276837105121
"Megachilidae","Chelostoma","Chelostoma","minutum","","solitary","above","rent",NA,"yes","yes","","","Chelostoma minutum",0.256455520133234,0.381304574978495,0.229447559014883,0.379683678036407
"Megachilidae","Chelostoma","Chelostoma","phaceliae","","solitary","above","rent","oligolectic","yes","yes","","","Chelostoma phaceliae",0.203098563601631,0.244203026937398,NA,0.698114879370685
"Megachilidae","Coelioxys","Boreocoelioxys","moesta","","parasite","above","rent",NA,"yes","yes","","","Coelioxys moesta",0.138984406224604,0.119416334766724,NA,0.0282130279851902
"Megachilidae","Coelioxys","Boreocoelioxys","rufitarsis","","parasite","above","rent",NA,"yes","yes","","","Coelioxys rufitarsis",0.301643990259734,0.246602850799963,NA,0.250077782855313
"Megachilidae","Coelioxys","Coelioxys","sodalis","","parasite","above","rent",NA,"yes","yes","","","Coelioxys sodalis",0,0,NA,0.374039912234897
"Megachilidae","Coelioxys","Cyrtocoelioxys","gilensis","aff.","parasite","above","rent",NA,"yes","yes","","","Coelioxys gilensis aff.",0.201917548631103,0.221325088088617,0.21279574217483,0.250077782855313
"Megachilidae","Coelioxys","Synocoelioxys","apacheorum","","parasite","above","rent",NA,"yes","yes","","","Coelioxys apacheorum",0.148871634175695,0.132028813361451,0.399594532144477,0.346136771256281
"Megachilidae","Coelioxys","Xerocoelioxys","grindeliae","","parasite","above","rent",NA,"yes","yes","","","Coelioxys grindeliae",0.0942305840503399,NA,0.227450748042521,0.250077782855313
"Megachilidae","Dianthidium","Dianthidium","plenum","","solitary","above","create",NA,"no","yes","?","","Dianthidium plenum",NA,NA,NA,0.226577576910094
"Megachilidae","Dianthidium","Dianthidium","pudicum","","solitary","above","create",NA,"yes","yes","crotches of branches; on/under rocks","Gregoric and Stangy 1968; Clement and Russ 1974; Hicks 1927","Dianthidium pudicum",0.293433130157262,0.269461953795767,0.353442422751975,0.333957502758782
"Megachilidae","Dianthidium","Dianthidium","singulare","","solitary","above","create",NA,"no","yes","","Mitchner 1935; Timberlake 1943","Dianthidium singulare",0.362222462662206,0.414505507228938,NA,0.321646641086261
"Megachilidae","Dianthidium","Dianthidium","ulkei","","solitary","above","rent","oligolectic","yes","yes","","","Dianthidium ulkei",0.231623976651883,0.16797360313182,0.43388326450961,0.356398270104877
"Megachilidae","Heriades","Neotrypetes","cressoni","","solitary","above","rent",NA,"yes","yes","","","Heriades cressoni",0.299306881181383,0.337572019327448,0.40085030628397,0.518837089748041
"Megachilidae","Hoplitis","Alcidamea","producta","","solitary","above","rent",NA,"yes","yes","","","Hoplitis producta",0.192098501230236,0.195035920571421,0.229299736120102,0.358263371943615
"Megachilidae","Hoplitis","Alcidamea","uvulalis","","solitary","above","rent",NA,"yes","yes","","","Hoplitis uvulalis",0.69450658572701,0.743506143024122,NA,0.600271720163259
"Megachilidae","Hoplitis","Monumetha","albifrons","maura","solitary","above","rent",NA,"yes","yes","","","Hoplitis albifrons maura",0.363494285581165,0.443460814666699,0.171877115087886,0.385299212530369
"Megachilidae","Hoplitis","Monumetha","albifrons","albifrons","solitary","above","rent",NA,"yes","yes","","","Hoplitis albifrons albifrons",0.236029125785926,0.248179534701023,0.264426488655352,0.385299212530369
"Megachilidae","Hoplitis","Monumetha","fulgida","platyura","solitary","above","rent",NA,"yes","yes","","","Hoplitis fulgida platyura",0.184797618622229,0.245324640907091,0.161498881470494,0.274945406724863
"Megachilidae","Megachile","Chelostomoides","angelarum","","solitary","above","rent","polylectic","yes","yes","","","Megachile angelarum",0.202772999000002,0.232446126361547,0.214629551015099,0.399113408201465
"Megachilidae","Megachile","Litomegachile","gentilis","","solitary","above","rent","polylectic","yes","yes","","","Megachile gentilis",0.113362817776434,0.0537432041275673,0.27545341172625,0.275928980709097
"Megachilidae","Megachile","Litomegachile","texana","","solitary","below","rent","polylectic","yes","yes","","","Megachile texana",0.245956542955847,0.321864929020701,NA,0.318599326304171
"Megachilidae","Megachile","Megachile","montivaga","","solitary","above","rent","polylectic","yes","yes","","","Megachile montivaga",0.138984406224604,0.119416334766724,NA,0.36544993125587
"Megachilidae","Megachile","Megachile","relativa","","solitary","above","rent",NA,"yes","yes","","","Megachile relativa",0.385845046136766,0.345936474586767,0.430994891768114,0.461242690695904
"Megachilidae","Megachile","Megachiloides","wheeleri","","solitary","ground","ex",NA,"no","yes","","Gordon 2000","Megachile wheeleri",0.437181605167945,0.434963230105417,0.505318159671351,0.379207313299593
"Megachilidae","Megachile","Sayapis","fidelis","","solitary","above","rent","polylectic","yes","yes","","","Megachile fidelis",0.170077250576564,0.144142191292289,0.311115838155529,0.332677212392229
"Megachilidae","Megachile","Sayapis","pugnata","pomona","solitary","above","rent",NA,"yes","yes","","","Megachile pugnata pomona",0.377255973180043,0.380335742624371,0.406224837209234,0.440290488448699
"Megachilidae","Megachile","Xanthosarus","frigida","","solitary","mix","ex",NA,"no","yes","","Stephen 1956; Pengelly 1955","Megachile frigida",0.386316645912743,0.851886712245315,0.189567571810319,0.215151343142345
"Megachilidae","Megachile","Xanthosarus","gemula","cressonii","solitary","above","rent",NA,"yes","yes","","Fye 1965; Medler & Lussenhop 1968","Megachile gemula cressonii",0.139559739431491,0.21011116196854,NA,0.289519194749744
"Megachilidae","Megachile","Xanthosarus","melanophaea","","solitary","below","rent",NA,"yes","yes","","Graenicher 1905; Pengelly 1955","Megachile melanophaea",0.173648321287316,0.233640345979774,0.043119727388982,0.407801082391348
"Megachilidae","Megachile","Xanthosarus","perihirta","","solitary","below","ex",NA,"no","yes","","Hicks 1926 & 1936; Hobbs 1957","Megachile perihirta",0.22694633565145,0.27005805282664,0.179476063629262,0.216534468444419
"Megachilidae","Osmia","Cephalosmia","montana","quadriceps","solitary","above","rent",NA,"yes","yes","","Cane 2007","Osmia montana quadriceps",0.558677016736627,0.598954768178293,0.546148658313996,0.517881401222183
"Megachilidae","Osmia","Cephalosmia","subaustralis","","solitary","above","rent",NA,"yes","yes","Wood","Cane 2007","Osmia subaustralis",0.425279700973324,NA,0.339361445851889,0.412326604139804
