"Site","Date","BloomStatus","FlowerNum","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies","Year","doy","Occ","logFlowerNum","PlantGenusSpecies","SiteStatus"
"L21",2013-06-26,"full bloom",1,"Arnica","nevadensis","","","2013",177,1,1,"Arnica nevadensis","MOD"
"L21",2013-07-13,"finishing bloom",1,"Arnica","nevadensis","","","2013",194,1,1,"Arnica nevadensis","MOD"
"L21",2013-07-17,"finishing bloom",1,"Arnica","nevadensis","","","2013",198,1,1,"Arnica nevadensis","MOD"
"L21",2013-07-30,"finishing bloom",1,"Arnica","nevadensis","","","2013",211,1,1,"Arnica nevadensis","MOD"
"L21",2014-06-12,"full bloom",1,"Arnica","nevadensis","","","2014",163,1,1,"Arnica nevadensis","MOD"
"L21",2014-06-22,"not blooming",0,"Arnica","nevadensis","","","2014",173,0,0,"Arnica nevadensis","MOD"
"L21",2014-07-03,"not blooming",0,"Arnica","nevadensis","","","2014",184,0,0,"Arnica nevadensis","MOD"
"L21",2014-07-13,"not blooming",0,"Arnica","nevadensis","","","2014",194,0,0,"Arnica nevadensis","MOD"
"L24",2013-06-27,"full bloom",1,"Arnica","nevadensis","","","2013",178,1,1,"Arnica nevadensis","HIGH"
"L24",2013-07-13,"finishing bloom",1,"Arnica","nevadensis","","","2013",194,1,1,"Arnica nevadensis","HIGH"
"L24",2013-07-18,"finishing bloom",1,"Arnica","nevadensis","","","2013",199,1,1,"Arnica nevadensis","HIGH"
"L24",2013-07-31,"finishing bloom",1,"Arnica","nevadensis","","","2013",212,1,1,"Arnica nevadensis","HIGH"
"L24",2014-06-13,"not blooming",0,"Arnica","nevadensis","","","2014",164,0,0,"Arnica nevadensis","HIGH"
"L24",2014-06-23,"full bloom",1,"Arnica","nevadensis","","","2014",174,1,1,"Arnica nevadensis","HIGH"
"L24",2014-07-02,"finishing bloom",2,"Arnica","nevadensis","","","2014",183,1,10,"Arnica nevadensis","HIGH"
"L24",2014-07-13,"full bloom",2,"Arnica","nevadensis","","","2014",194,1,10,"Arnica nevadensis","HIGH"
"N131",2013-06-30,"not blooming",0,"Aster","breweri","","","2013",181,0,0,"Aster breweri","LOW"
"N131",2013-07-14,"full bloom",2,"Aster","breweri","","","2013",195,1,10,"Aster breweri","LOW"
"N131",2013-07-20,"full bloom",2,"Aster","breweri","","","2013",201,1,10,"Aster breweri","LOW"
"N131",2013-08-01,"finishing bloom",2,"Aster","breweri","","","2013",213,1,10,"Aster breweri","LOW"
"N131",2014-06-14,"not blooming",0,"Aster","breweri","","","2014",165,0,0,"Aster breweri","LOW"
"N131",2014-06-25,"beginning to bloom to bloom",2,"Aster","breweri","","","2014",176,1,10,"Aster breweri","LOW"
"N131",2014-07-04,"full bloom",2,"Aster","breweri","","","2014",185,1,10,"Aster breweri","LOW"
