Park,Site,Year,Shannon,Evenness,Simpson,invSimpson,Richness,Richness_SAS
YOSE,R2-13,2002,0.900256051,0.819448372,0.53125,2.133333333,3,13
YOSE,R2-13,2013,0.49325376,0.355807377,0.232064,1.302191849,4,9
YOSE,R2-9,2002,1.039720771,0.94639463,0.625,2.666666667,3,17
YOSE,W0-1,2013,1.082273385,0.672454263,0.600290638,2.501817808,5,14
YOSE,W0-2,2013,1.081892371,0.672217525,0.612205775,2.578687189,5,15
YOSE,W0-3,2002,0,0,0,1,1,16
YOSE,W0-3,2013,1.302154743,0.7267464,0.700936895,3.343775887,6,25
YOSE,W0-4,2002,0,0,0,1,1,18
YOSE,W0-4,2013,1.263272202,0.607505514,0.623126496,2.653410197,8,24
YOSE,W1-1,2002,0.99502699,0.905712598,0.592592593,2.454545455,3,19
YOSE,W1-1,2013,1.293730605,0.561860063,0.631629547,2.714658547,10,28
YOSE,W1-2,2002,0,0,0,1,1,11
YOSE,W1-2,2013,1.133926666,0.582723034,0.568722983,2.318695317,7,14
YOSE,W1-3,2002,0.682908105,0.985228136,0.489795918,1.96,2,19
YOSE,W1-3,2013,1.342354749,0.64553618,0.65766201,2.921089764,8,12
YOSE,W1-4,2013,1.185586027,0.736646016,0.648859048,2.847859226,5,4
YOSE,W1-5,2002,1.109738552,0.800507153,0.61,2.564102564,4,16
YOSE,W1-5,2013,1.282846253,0.659252563,0.635331996,2.742220288,7,10
YOSE,W2-10,2013,0.54835371,0.340711317,0.251276539,1.335606604,5,12
YOSE,W2-11,2002,1.846052515,0.948683327,0.827160494,5.785714286,7,33
YOSE,W2-11,2013,1.58442422,0.688106696,0.726042237,3.650197712,10,27
YOSE,W2-2,2013,1.083538786,0.470574916,0.525292484,2.106560284,10,35
YOSE,W2-3,2002,1.791759469,0.920782221,0.805555556,5.142857143,7,31
YOSE,W2-3,2013,0.909464958,0.41391534,0.43118636,1.758045042,9,44
YOSE,W2-4,2013,0.757315142,0.3641916,0.349633788,1.537595253,8,44
YOSE,W2-5,2002,0,0,0,1,1,26
YOSE,W2-5,2013,0.471745804,0.340292666,0.239357793,1.314678558,4,20
YOSE,W2-6,2002,0.686961577,0.99107606,0.49382716,1.975609756,2,11
YOSE,W2-6,2013,1.714225296,0.744478587,0.780538776,4.556613599,10,26
YOSE,W2-7,2002,1.098612289,1,0.666666667,3,3,18
YOSE,W2-7,2013,0.36198771,0.329495413,0.187904,1.231381512,3,11
YOSE,W2-8,2002,1.098612289,1,0.666666667,3,3,19
YOSE,W2-8,2013,0.457645231,0.28435097,0.201256973,1.251967112,5,25
YOSE,W2-9,2002,0,0,0,1,1,11
YOSE,W2-9,2013,0.916069757,0.569186142,0.497754085,1.991056514,5,11
