Males,Females,Family,Genus,Species,PlantGenusSpecies
0,6,Andrenidae,Andrena,nigrocaerulea,Calyptridium umbellatum var.caudiciferum 
0,1,Andrenidae,Andrena,nigrocaerulea,Ceanothus integerrimus 
0,1,Andrenidae,Andrena,nigrocaerulea,Comandra umbellata ssp.californica 
0,2,Andrenidae,Andrena,nigrocaerulea,Epilobium anagallidifolium 
0,1,Andrenidae,Andrena,nigrocaerulea,Epilobium oregonense 
0,1,Andrenidae,Andrena,nigrocaerulea,Erigeron foliosus var.hartwegii 
0,1,Andrenidae,Andrena,nigrocaerulea,Eriodictyon californicum 
0,1,Andrenidae,Andrena,nigrocaerulea,Eriogonum incanum 
0,1,Andrenidae,Andrena,nigrocaerulea,Eriogonum umbellatum 
0,1,Andrenidae,Andrena,nigrocaerulea,Eriogonum umbellatum ssp.covillei 
0,1,Andrenidae,Andrena,nigrocaerulea,Eriophyllum lanatum var.integrifolium 
0,1,Andrenidae,Andrena,nigrocaerulea,Erysimum capitatum 
0,2,Andrenidae,Andrena,nigrocaerulea,Erysimum capitatum var.capitatum
0,3,Andrenidae,Andrena,nigrocaerulea,Gilia capitata 
0,1,Andrenidae,Andrena,nigrocaerulea,Gilia leptalea 
0,1,Andrenidae,Andrena,nigrocaerulea,Gilia leptalea ssp.bicolor 
0,1,Andrenidae,Andrena,nigrocaerulea,Gilia tricolor 
0,1,Andrenidae,Andrena,nigrocaerulea,Gilia tricolor ssp.tricolor
0,1,Andrenidae,Andrena,nigrocaerulea,Horkelia fusca ssp.parviflora 
1,4,Andrenidae,Andrena,nigrocaerulea,Horkelia tridentata 
0,1,Andrenidae,Andrena,nigrocaerulea,Leptodactylon pungens 
0,1,Andrenidae,Andrena,nigrocaerulea,Limnanthes alba 
0,1,Andrenidae,Andrena,nigrocaerulea,Limnanthes montana 
0,1,Andrenidae,Andrena,nigrocaerulea,Lithophragma affine 
0,1,Andrenidae,Andrena,nigrocaerulea,Lithophragma bolanderi 
0,1,Andrenidae,Andrena,nigrocaerulea,Lithophragma heterophyllum 
0,1,Andrenidae,Andrena,nigrocaerulea,Madia yosemitana 
0,1,Andrenidae,Andrena,nigrocaerulea,Minuartia obtusiloba 
0,1,Andrenidae,Andrena,nigrocaerulea,Nemophila heterophylla 
4,75,Andrenidae,Andrena,nigrocaerulea,NA
0,1,Andrenidae,Andrena,nigrocaerulea,Phacelia sp. 
0,1,Andrenidae,Andrena,nigrocaerulea,Phyllodoce breweri 
0,2,Andrenidae,Andrena,nigrocaerulea,Plagiobothrys nothofulvus 
0,1,Andrenidae,Andrena,nigrocaerulea,Ranunculus orthorhynchus var.orthorhynchus
0,1,Andrenidae,Andrena,nigrocaerulea,Sedum obtusatum 
0,1,Andrenidae,Andrena,nigrocaerulea,Senecio aronicoides 
0,1,Andrenidae,Andrena,nigrocaerulea,Senecio scorzonella 
0,2,Andrenidae,Andrena,nigrocaerulea,Senecio sp. 
0,1,Andrenidae,Andrena,nigrocaerulea,Senecio triangularis 
0,1,Andrenidae,Andrena,nigrocaerulea,Sphenosciadium capitellatum 
0,3,Andrenidae,Andrena,nigrocaerulea,Streptanthus tortuosus 
0,1,Andrenidae,Andrena,nigrocaerulea,Streptanthus tortuosus var.orbiculatus 
0,5,Andrenidae,Andrena,nigrocaerulea,Streptanthus tortuosus var.tortuosus
0,3,Andrenidae,Andrena,nigrocaerulea,Thysanocarpus curvipes 
0,3,Andrenidae,Andrena,nigrocaerulea,Triteleia montana 
0,5,Andrenidae,Andrena,nivalis,Arctostaphylos viscida 
0,5,Andrenidae,Andrena,nothocalaidis,Microseris nutans 
0,3,Andrenidae,Andrena,nothocalaidis,Monardella lanceolata 
0,28,Andrenidae,Andrena,nothocalaidis,NA
0,2,Andrenidae,Andrena,obscuripostica,Arctostaphylos viscida 
0,2,Andrenidae,Andrena,obscuripostica,Ceanothus integerrimus 
0,2,Andrenidae,Andrena,obscuripostica,NA
0,9,Andrenidae,Andrena,omninigra,Brassica nigra 
0,9,Andrenidae,Andrena,omninigra,Clarkia biloba 
0,2,Andrenidae,Andrena,omninigra,Clarkia dudleyana 
0,1,Andrenidae,Andrena,omninigra,Clarkia purpurea 
0,2,Andrenidae,Andrena,omninigra,Clarkia sp. 
0,2,Andrenidae,Andrena,omninigra,Clarkia unguiculata 
0,11,Andrenidae,Andrena,omninigra,Clarkia williamsonii 
0,1,Andrenidae,Andrena,omninigra,Epilobium minutum 
0,4,Andrenidae,Andrena,omninigra,Eriodictyon californicum 
0,3,Andrenidae,Andrena,omninigra,Gilia capitata 
0,1,Andrenidae,Andrena,omninigra,Linanthus montanus 
0,55,Andrenidae,Andrena,omninigra,NA
0,1,Andrenidae,Andrena,omninigra,Stachys albens 
0,1,Andrenidae,Andrena,omninigra,Trifolium oliganthum 
0,1,Andrenidae,Andrena,osmioides,NA
0,2,Andrenidae,Andrena,osmioides,Plagiobothrys nothofulvus 
0,1,Andrenidae,Andrena,pallidifovea,Ceanothus sp. 
0,2,Andrenidae,Andrena,pallidifovea,Lasthenia californica 
0,1,Andrenidae,Andrena,pallidifovea,Layia pentachaeta 
0,3,Andrenidae,Andrena,pallidifovea,Madia elegans 
0,6,Andrenidae,Andrena,pallidifovea,Madia elegans ssp.vernalis 
1,1,Andrenidae,Andrena,palpalis,NA
1,7,Andrenidae,Andrena,palpalis,Phacelia cicutaria var.cicutaria
0,1,Andrenidae,Andrena,palpalis,Pholistoma auritum var.auritum
0,3,Andrenidae,Andrena,pertristis,Allium obtusum 
0,1,Andrenidae,Andrena,pertristis,Brassica nigra 
0,2,Andrenidae,Andrena,pertristis,Chamaebatia foliolosa 
0,4,Andrenidae,Andrena,pertristis,Gilia capitata 
0,1,Andrenidae,Andrena,pertristis,Lupinus nanus 
0,1,Andrenidae,Andrena,pertristis,Madia elegans 
0,7,Andrenidae,Andrena,pertristis,NA
0,2,Andrenidae,Andrena,pertristis,Polygonum bistortoides 
0,3,Andrenidae,Andrena,pertristis,Potentilla gracilis 
0,1,Andrenidae,Andrena,pertristis,Rhamnus tomentella ssp.cuspidata 
0,1,Andrenidae,Andrena,plana,Linanthus filipes 
